g 1 0 11893
g 1 1 11579
h 1 1 -15684
g 2 0 -6030
g 2 1 -12587
g 2 2 196
h 2 1 6116
h 2 2 4759
g 3 0 2705
g 3 1 1188
g 3 2 -4808
g 3 3 -2412
h 3 1 -7095
h 3 2 -1616
h 3 3 -2608
