 154     -666.5    1.0 g 12 10
 155     -755.4    1.0 g 12 11
 156     -220.8    1.0 g 12 12
 157     4204.2    .96 h 12  1
 158     2228.0    .96 h 12  2
 159    -1901.1    .97 h 12  3
 160    -1271.2    .99 h 12  4
 161     1073.4    .99 h 12  5
 162    -1111.9    1.0 h 12  6
 163      872.9    1.0 h 12  7
 164     -837.9    1.0 h 12  8
 165     -462.8    1.0 h 12  9
 166      -22.0    1.0 h 12 10
 167      110.3    1.0 h 12 11
 168     -712.7    1.0 h 12 12
 169      751.5    .90 g 13  0
 170     -456.4    .90 g 13  1
 171     1160.4    .91 g 13  2
 172    -2307.8    .93 g 13  3
 173      -77.1    .94 g 13  4
 174      -16.9    .97 g 13  5
 175      594.8    .98 g 13  6
 176     -950.7    .99 g 13  7
 177     1042.3    1.0 g 13  8
 178     -641.8    1.0 g 13  9
 179       41.6    1.0 g 13 10
 180     -229.1    1.0 g 13 11
 181      -40.3    1.0 g 13 12
 182     -287.8    1.0 g 13 13
 183     4125.6    .91 h 13  1
 184      -44.0    .92 h 13  2
 185     -455.4    .93 h 13  3
 186     2160.6    .97 h 13  4
 187      255.4    .97 h 13  5
 188     1105.1    .98 h 13  6
 189     1214.2    .99 h 13  7
 190      196.1    1.0 h 13  8
 191     -207.7    1.0 h 13  9
 192     1195.7    1.0 h 13 10
 193      472.4    1.0 h 13 11
 194      721.6    1.0 h 13 12
 195       51.3    1.0 h 13 13
 196     1164.6    .83 g 14  0
 197    -2478.0    .83 g 14  1
 198      907.7    .85 g 14  2
 199    -1280.7    .87 g 14  3
 200      148.5    .87 g 14  4
 201     1468.8    .92 g 14  5
 202       -8.1    .94 g 14  6
 203      604.5    .97 g 14  7
 204      787.2    .99 g 14  8
 205      327.7    .99 g 14  9
 206      111.6    1.0 g 14 10
 207      245.2    1.0 g 14 11
 208      127.3    1.0 g 14 12
 209      425.9    1.0 g 14 13
 210        6.3    1.0 g 14 14
 211     -847.8    .84 h 14  1
 212     -124.9    .85 h 14  2
