g 1  0	21140.2
g 2  0	1581.1
g 3  0	2260.1
g 4  0	91.1
g 5  0	12.6
g 6  0	17.2
g 7  0	-59.6
g 8  0	-10.5
g 9  0	-12.9
g 10 0	15.0
g 11 0	18.2
g 12 0	0.3
