g 1 0 -215.8
g 1 1 0.2
h 1 1 2.7
g 2 0 -57.0
g 2 1 1.0
g 2 2 -7.0
h 2 1 -1.4
h 2 2 -3.3
g 3 0 -36.7
g 3 1 2.9
g 3 2 9.2
g 3 3 -2.5
h 3 1 0.8
h 3 2 2.6
h 3 3 0.1
